crag,route_name,route_rating,bouldering_grade,route_difficulty
Mt Charleston,Warlords,5.13a,V10,1.7260557922751065
Mt Charleston,Borderline,5.13a,V10,1.944896273221252
Bishop,Cave Route,5.11d,V6,1.1664115580632515
Carter Lake,Kahuna Roof,5.11d,V6,0.9164684332827276
Bishop,Buttermilker,5.13c,V12,2.790786116014162
Rocktown,The Orb,5.12c,V8,2.379937328666448
LCC,Jim,5.10c,V4,0.012777859442107508
Bishop,Anti Hero,5.11a,V5,-0.010923036745498417
New River Gorge,Blood Raid,5.13a,V10,1.5798391985694415
Wild Iris,Wind and Rattlesnakes,5.12a,V7,-0.5305863446347038
Summersville Lake,Apollo Reed,5.13a,V10,1.530096166177519
Smith Rocks,Take a Powder,5.12a,V7,0.3684091155752639
Clear Creek Canyon,Speed Trap,5.12a,V7,-0.6439132040531367
Rifle,Never Believe,5.12d,V9,2.129930802449081
Smith Rocks,Dreamin',5.12a,V7,-0.4650634372361627
Wild Iris,Bobcat Logic,5.12c,V8,0.7868500845382066
Maple Canyon,Loser,5.13a,V10,2.5543541043120284
Maple Canyon,Diggler,5.13b,V11,1.69062007471699
LCC,Copperhead,5.13a,V10,2.339545113501792
LCC,Butt Trumpet,5.12c,V8,2.2752281757136066
Joe's Valley,Scrawny and Brawny,5.13a,V10,2.6695162823759664
Bishop,Low Rider,5.13a,V10,1.8021132175111858
Bishop,Shock Therapy,5.12d,V9,0.46387814897152063
Bishop,Shizaam,5.11a,V5,0.1991585633769123
Rifle,Slacker Direct,5.13c,V12,2.141537376419862
Rifle,Feline,5.11a,V5,-2.3249395863503004
Rifle,80 feet of meat,5.11b,V5,-1.9446291550273647
Rifle,Cold Cuts,5.11a,V5,-2.388056167475582
American Fork,The Atheist,5.11b,V5,-1.5391106624207356
LCC,Fungus,5.10c,V4,0.6730590324926008
Cathedral,Natural Born Drillers,5.12c,,-1.090298013288856
Maple Canyon,Hooked on Estrogen,5.12c,V9,-0.3362917699948346
Maple Canyon,Functional Idiot,5.12b,V8,-2.17875149828986
Bishop,Cayla,5.12a,V7,0.8305762654876704
Bishop,It's All About Love,5.12c,V8,2.0274365986819554
Shelf Road,Heavy Weather,5.12a,V7,-0.9324984641951521
Shelf Road,Back to the Future,5.11b,V5,-1.8038009967608337
Shelf Road,Unusual Weather,5.11b,V5,-2.5555328828618897
Rifle,Choss Family Robinson,5.11b,V6,-0.6647199983227043
Rifle,Bottom Feeder,5.11b,V5,-2.3486137947777963
Rifle,Motley Cruise,5.11b,V5,-2.636673335763666
Rifle,Rumor Has It,5.11b,V5,-2.523629461662349
Wild Iris,Ruby Shooter,5.12b,V8,0.14715888973738114
Rifle,Steroid Power,5.11d,V6,-1.709225923524545
Rifle,Fossil Family,5.12a,V7,0.2670627908636567
Rifle,Cardinal Sin,5.12a,V7,-0.4817443612645977
Rifle,Rehabilitator,5.11d,V6,-1.4646566229833846
Rifle,Fistfull of dollars,5.11b,V6,-2.171056611457598
Clear Creek Canyon,Fiddler on the Woof,5.12a,V7,-0.9731788254867076
Carter Lake,Sloper Chief,5.11a,V5,1.697341077990166
Poudre Canyon,It's Ice,5.10c,V4,-0.3180631079097504
Rifle,Fluff Boy,5.13c,V12,3.4425098835679546
Red River Gorge,The Madness,5.13c,V12,2.1143326342080506
Bishop,Saigon,5.11d,V6,0.8134383373591823
Hueco Tanks,Sex After Death,5.12c,V9,0.03153286872485735
Hueco Tanks,Mushroom Roof,5.12c,V8,1.4298896724049357
Rifle,Bride of Frankenstein,5.13d,V13,3.2021667593288052
Bishop,Gleaming the Cube,5.12c,V8,1.1671968004819755
Joshua Tree,Chili Sauce,5.12a,V7,0.8788566002406523
Bishop,Toxic Avenger,5.12d,V9,2.7726780640063318
Bishop,Cholos,5.12d,V9,2.6410546943281665
Red Rocks,Shark Walk,5.13a,V10,1.6549550618027902
Rifle,Dry Doctor,5.13b,V11,3.019439322760389
Rifle,Chud,5.13a,V10,1.5744497993696018
Rocktown,Brown Hole,5.12c,V8,1.893257319167686
Hueco Tanks,Daily Dick Dose,5.12a,V7,0.5508680323474743
Joe's Valley,Kind of Brawny,5.12c,V8,1.5370536200553928
Joe's Valley,Big Joe,5.12a,V7,1.2330291832220361
Priest Draw,Wife Beater,5.12c,V8,1.4348317807222288
Priest Draw,Twister,5.11d,V6,0.8427359831933224
VRG,Corrosion,5.12c,,1.8259999190003458
VRG,High Flames Drifter,5.12c,,1.138032468660658
HP 40,Grab Me,5.12a,V7,1.149038677873578
Maple Canyon,Rucksack Wanderer,5.13a,V10,1.5869870523626193
Bishop,Froz,5.12a,V7,1.7071967729051705
Bishop,Soma,5.12c,V7,1.5662454648298145
Horsetooth,Pinch Overhang,5.11a,V5,0.38171035698229067
Rifle,James Brown's Wild Ride,5.11d,V6,-2.144445525115788
American Fork,Beeline,5.12b,V8,-0.3653466920776814
Gunks,The Buddha,5.12a,V7,1.1623724671759164
Joe's Valley,stand up,5.12c,V8,1.61444300716846
Rifle,Vision Thing,5.13b,V11,3.2899809367874777
Rifle,Kill For A Thrill,5.13a,V10,2.222263507907654
Rifle,Poetic Justice,5.13a,V10,2.5176022572693193
Red Rocks,SOS,5.13a,V10,2.4623316579485692
Clear Creek Canyon,Wet Dream,5.12a,V7,-1.1850662106593948
Gunks,Boxcar Arete,5.12c,V8,2.2620855775631163
Smith Rocks,Energy Crisis,5.12b,V8,1.2364856540144413
Smith Rocks,Chain Reaction,5.12c,V9,2.7650408058533764
Smith Rocks,Liquid Jade,5.12b,V8,0.7678094164438864
Owens River Gorge,Enterprise,5.12b,V8,-0.22818324725564346
Smith Rocks,Freebase,5.12a,V7,0.0796872989516975
Smith Rocks,Latin Lover,5.12a,V7,-0.9330953011744854
Red River Gorge,Wild Yet Tasty,5.12a,V7,-0.7005363395026593
Red River Gorge,Kick Me In The Jimmie,5.12a,V7,-1.0435485228920724
Red River Gorge,Ale-8-One,5.12b,V8,-0.19594286610527323
Joe's Valley,Prophet in a Ditch,5.13a,V10,0.8009616514022123
Shelf Road,Gym Arete,5.12a,V7,-0.37199286893959027
LCC,Smiley Right,5.10c,V4,-0.6122340734946299
New River Gorge,Quinsana Plus,5.13a,V10,2.544774793423283
Red River Gorge,Fuzzy Undercling,5.11b,V5,-1.5916130109403528
Red River Gorge,Seek The Truth,5.11d,V6,-0.5000571758033585
Red River Gorge,Moonbeam,5.9,V2,-2.8295581448120024
Red River Gorge,Sunshine,5.9,V2,-2.953247676083818
Red River Gorge,Crazy Fingers,5.10c,V4,-2.53123686049993
Red River Gorge,C Sharp or B Flat,5.7,V1,-3.302964791106172
Smith Rocks,Ring of Fire,5.11d,V6,-0.2514824591273257
Smith Rocks,Vomit Launch,5.11b,V5,-1.2088417235462465
Smith Rocks,Moondance,5.11b,V6,-2.3557837389142695
Smith Rocks,Zebra Direct,5.11a,V5,-1.0741500302240083
Smith Rocks,Moons of Pluto,5.10d,V4,-1.7794093692430681
Smith Rocks,Wedding Day,5.10b,V4,-2.05106643928983
Maple Canyon,Space Lord,5.12d,V9,-0.44208517255272456
Horsetooth,Beached Whale,5.10a,V3,-0.5374885639489826
Clear Creek Canyon,Curvaceous,5.11b,V6,-2.9201696522630183
Clear Creek Canyon,Reefer Madness,5.11a,V5,-2.793231830682325
Owens River Gorge,Expressway,5.11b,V5,-2.0540176895117654
Owens River Gorge,Hungover,5.11b,V5,-2.369922896555457
Owens River Gorge,Peking Duck,5.10d,V4,-1.507879062174451
Owens River Gorge,Hardly Wallbanger,5.10c,V4,-2.6628253796802634
New River Gorge,Bullet the new sky,5.12b,V8,0.15840145900726305
Rifle,Cantina Boy,5.13b,V11,3.035322886564305
Rumney,Rhythm X,5.13c,V12,2.6783883716743513
Rumney,Urban Surfer,5.13d,V13,2.6019733274598913
Rumney,Coral Sea,5.13b,V11,2.2662145340830833
Rumney,Predator,5.13b,V11,2.082662931850628
Rumney,Dyno-Soar,5.13a,V10,2.297077915227814
Rumney,Butt Bongo Fiesta,5.13a,V10,2.5678833353333377
Rumney,Tin Man,5.12d,V9,1.3125538660005887
Rumney,The Crusher,5.11d,V6,-1.0854011607832752
Rumney,The Vaporizer,5.12a,V7,-1.0046268765710107
Rumney,Orangahang,5.12a,V7,0.42415362145825264
Rumney,Neptune,5.13a,V10,1.4855120215920858
Smith Rocks,Watts tots,5.12b,V8,0.8142901992980416
Smith Rocks,Latest Rage,5.12b,V8,1.138542110678687
Smith Rocks,Vision,5.12b,V8,0.24733269435104352
Smith Rocks,Go Dog Go,5.12c,,1.317284107563481
New River Gorge,Ministry,5.12b,V8,0.16815436845920134
Rumney,Feeding Frenzy,5.13d,V13,2.253159572761336
Red River Gorge,orange juice,5.12c,V9,0.10710329984330921
New River Gorge,Chunky Monkey,5.12b,V8,1.2167312806197945
Summersville Lake,Reckless Abandon,5.12b,V8,-0.04045610681041083
Red River Gorge,Phantasia,5.12d,V9,1.0946702359339806
New River Gorge,Dial 911,5.13a,V10,2.5007059280106834
New River Gorge,Devil Doll,5.12d,V9,0.7677720564715679
New River Gorge,Lactic Acid Bath,5.12d,V9,0.7132812158361166
New River Gorge,Bicycle Club,5.11d,V6,-0.5802185219535027
New River Gorge,Lost Souls,5.12a,V7,-0.2073626470918433
New River Gorge,Sancho belige,5.11b,V6,-0.6926080834833103
New River Gorge,Kaos,5.12c,,1.1615137845114534
Rumney,Cosmic Monsters,5.12a,V7,0.3166892587452068
Rumney,Things as they are now,5.12a,V7,1.008515590457216
Sinks Canyon,Harvest Moon,5.11a,V5,-2.4023226646228393
Sinks Canyon,Blue Moon,5.12a,V7,-0.5910057064686232
Boulder Canyon,Joint Venture,5.11a,V5,-2.837307430020712
Lincoln Woods,Jacked Bagel,5.12a,V7,0.8819264040888872
Lincoln Woods,Iron Cross,5.10c,V4,-0.7642226183609424
Sinks Canyon,Hardware,5.12a,V7,0.34701615797670704
Smith Rocks,Crack Babies,5.12b,V8,0.3052558556567434
Smith Rocks,Oxygen,5.13b,V11,2.6349955313244244
Lincoln Woods,Straight Razor,5.12b,V8,0.4648820124962677
HP 40,High Life,5.11d,V6,0.6247194467711171
Wild Iris,Limestone Cowboy,5.12a,V7,-0.31211359165793606
Wild Iris,Hot tamale baby,5.11d,V6,-1.5410520272715482
Wild Iris,Tomahawk Slam,5.12a,V7,-0.2407949484467258
Wild Iris,Easy Ridin',5.10d,V4,-2.647548831781812
Rifle,Quasimodo,5.11b,,-1.6217495822310068
Wild Iris,The Devil wears spurs,5.10d,V4,-2.666575192473155
Wild Iris,Cowboy Joe,5.10c,V4,-2.8080528535742295
American Fork,Bamboo,5.12b,V8,1.045527331314484
Lincoln Woods,Diesel,5.12c,V9,1.8583450824143875
Rumney,Parallel Universe,5.14a,V14,2.6798860125521773
Rumney,Dr. No,5.14a,V14,2.522317959875767
Clear Creek Canyon,Ten Digit Dialing,5.12c,V9,1.807206546273846
Little Si,Aborigine,5.11b,V5,-1.072317675507785
Rumney,Suburban,5.13a,V10,2.6411390280940705
Rumney,Tsunami,5.12c,V9,1.230868097498265
Rumney,Big Kahuna,5.12d,V9,2.2261573513488577
Rumney,Muscle Beach,5.13a,V10,2.7401307141718716
Rumney,Kundalini,5.12d,V9,2.1324610800616095
Rumney,Stone Monkey,5.13b,V11,2.5980979259341592
Rumney,Bottom Feeder,5.13a,V10,1.965456655710911
Rumney,Flying Monkeys,5.12c,V9,0.7980338026821646
Rumney,Charlie Don't Surf,5.13b,V11,2.4527857820094576
Smith Rocks,Rude Boys,5.13c,V12,2.1726770489881138
Rumney,The Caged,5.12d,V9,2.021290483331582
Hueco Tanks,Babyface,5.12a,V7,1.528888710601365
Blowing Rock,Flagyl,5.13a,V10,2.1228866037511644
Hueco Tanks,Choir Boys,5.12d,V9,3.1289110874075243
Blowing Rock,Desperate Bitch,5.12c,V8,1.8984927826948905
Hueco Tanks,Moonshine Roof,5.10c,V4,-0.7788761626826743
Rifle,Pinch Fest,5.12b,V8,1.476394005908645
Reimer's,Jade,5.12a,V7,0.5058004746667171
Rifle,Ruckus,5.12b,V8,0.5992434986450126
Rifle,The Polly-Nator,5.12a,V7,0.4991189194632361
Rifle,Community Service,5.11b,V6,-1.970782563016354
Boulder Canyon,Empire of the Fenceless,5.12a,V7,-0.292737789031041
Rifle,Family Unit,5.11d,V6,-1.0011897739154698
Red River Gorge,Pocket Pussy,5.10d,V4,-2.4928666905015073
Red River Gorge,Table of Colors,5.13a,V10,2.326069772556603
Red River Gorge,Snooker,5.13a,V10,0.8606968976545984
Red River Gorge,Stunning the Hog,5.12d,V9,1.4772604114929448
Hound Ears,Mr. Thick,5.12d,V9,2.365949239685296
Hound Ears,The Blade,5.11d,V6,-0.3911428269230699
Flagstaff,Undercling Traverse,5.12d,V9,2.527640956868644
Bishop,Bubba Gump,5.13a,V10,1.9159366842272245
LCC,Shingles,5.12d,V9,1.858438767075847
Joe's Valley,Two Finger Variation,5.12d,V9,2.046641891743451
Morrison,Cytogrinder,5.12c,V8,2.6086280408491502
Hueco Tanks,Full Service,5.13a,V10,3.33447918083795
Red River Gorge,?,5.12a,V7,-2.3663147607041193
Maple Canyon,Captain Bullet,5.13a,V10,1.8559927274351893
Rumney,Tin Monkeys,5.13a,V10,1.2357158167972948
Rifle,In Your Face,5.12d,V9,3.00221059606776
Rifle,Firearms,5.12a,V7,-0.34872711678972823
Rifle,Bolt Action,5.12a,V7,-0.3450577105409078
Rifle,Primer,5.11b,V5,-2.3696210425137685
Reimer's,Liposuction,5.12a,V7,0.10676997766583755
Clear Creek Canyon,Officer Friendly,5.11b,V5,-1.0934527998936823
Clear Creek Canyon,Anarchy Rules,5.12b,V8,-0.7138697390493796
Clear Creek Canyon,Power Trip,5.12a,V7,-1.2595362625822677
Reimer's,Rain Dance,5.12b,V8,0.23805633607559135
Bishop,Disco Hulk,5.12d,V9,2.108755440074723
American Fork,Merciless Onslaught,5.12b,V8,1.5629049230917063
Rumney,Giant Man,5.12c,V8,0.023098889051393675
Rifle,Hang em High,5.12c,V9,0.41764482126218816
Black Mountain,Unnamed,5.10c,V1,-0.3182038297113233
Castle Rock,Right Hand Man,5.12a,V7,1.2131552201799505
Joshua Tree,Caveman,5.12b,V8,1.411657493079862
Hueco Tanks,Shower Cap,5.12d,V9,1.9365113420291122
Hueco Tanks,New Religion,5.12a,V7,0.26986290902082805
Hueco Tanks,Better Eat Your Wheaties,5.12c,V9,1.499051494626231
Shagg,Meltdown,5.12d,V9,0.9087637282950456
RMNP,Revenge,5.11d,V6,0.19426214754241206
Maple Canyon,Lunchables,5.12a,V7,-1.8086685675607197
Maple Canyon,The Put Down,5.12c,V7,-1.9821652951718758
Wild Iris,Burnt Beans and Coffee,5.12c,V9,-0.058013103387962395
Wild Iris,Wotai,5.10d,V4,-3.008058674847939
Red River Gorge,Reliquary,5.12b,V8,0.15640074940479826
Rifle,Love and rockets,5.12b,V8,0.16235212010793582
Rifle,Pygmy Mastodon Boner,5.12b,V8,-0.04335115259297752
Rifle,Charleston Choss,5.13b,V11,2.1936861310547915
Rifle,Slacker,5.12d,V9,1.998467418875201
Maple Canyon,Cobble in the sky,5.12c,V8,-0.2025172986720145
Maple Canyon,Just Put It In,5.12c,V8,-0.9999998552663923
Maple Canyon,The Big Calm,5.12b,V8,-1.0798794930031923
Maple Canyon,Sweet Peas,5.12a,V7,-1.2610233021340544
Maple Canyon,Just a Little Something,5.13a,V10,-0.02635582459403126
Maple Canyon,The Wicked Way,5.12d,V9,-0.06233285553022354
Rifle,Crime and Punishment,5.12a,V7,-0.951496305097932
Foster falls,Bottled Up Warrior,5.12c,V8,0.24227057932773235
Little River Canyon,Robyn's Route,5.12b,V8,-1.020101745842584
Rocktown,Tunnel Vision,5.11d,V6,1.0320890407165277
Red River Gorge,To Defy The Laws of Tradition,5.10a,V3,-2.749033952662608
Rifle,Street Knowledge,5.12b,V8,0.7944627245639564
Sinks Canyon,Corner Drug,5.11a,V5,-2.388399049783018
Rifle,Czech Mate,5.12b,V8,-0.7809947240180293
Maple Canyon,Afterglow,5.12a,V7,-2.0505533760276204
maple canyon,Groundwork,5.11b,V8,-2.733662401972646
Chuckawalla,Second Coming,5.12a,V7,-1.378377485284591
